Experiment Number,Training Time (s),Inference Time (s)
1,1.8759326934814453,0.6708250045776367
2,1.898818016052246,0.6894960403442383
3,1.8777151107788086,0.7192513942718506
4,1.908078908920288,0.7111709117889404
5,1.9350056648254395,0.7256917953491211
6,1.945603609085083,0.6915860176086426
7,1.9029271602630615,0.7324752807617188
8,1.9004716873168945,0.7725701332092285
9,1.9497344493865967,0.7174768447875977
10,1.88710618019104,0.7363924980163574
