Experiment Number,Training Time (s),Inference Time (s)
1,1.4587414264678955,0.03301262855529785
2,1.437849998474121,0.04437971115112305
3,1.5169875621795654,0.02881002426147461
4,2.019181728363037,0.0938880443572998
5,2.092456102371216,0.03364109992980957
6,2.0106616020202637,0.08251571655273438
7,1.9962248802185059,0.05504155158996582
8,2.0013771057128906,0.03284645080566406
9,1.9756572246551514,0.029904603958129883
10,1.9835264682769775,0.11283540725708008
