Experiment Number,Training Time (s),Inference Time (s)
1,1.8898086547851562,0.9941720962524414
2,1.904268741607666,1.0019819736480713
3,2.119539260864258,1.088578701019287
4,3.5618772506713867,1.0055434703826904
5,3.197307825088501,0.9917891025543213
6,3.3199541568756104,0.9681942462921143
7,2.7487876415252686,0.9942162036895752
8,2.668635129928589,1.0051732063293457
9,2.640575885772705,0.9808571338653564
10,2.658137798309326,0.9852466583251953
